PAOC_label,SEX_label,PINCP,MARHYP,PAP
Females with own children under 6 years only,Female,521000,1936,0
Females with own children 6 to 17 years only,Female,188000,1936,0
Females with own children 6 to 17 years only,Female,180000,1936,0
Females with own children under 6 years and 6 to 17 years,Female,165000,1936,0
Females with own children under 6 years and 6 to 17 years,Female,150000,1936,0
Females with own children 6 to 17 years only,Female,150000,1936,0
Females with own children 6 to 17 years only,Female,150000,1936,0
Females with own children 6 to 17 years only,Female,121000,1936,0
Females with own children 6 to 17 years only,Female,120000,1936,0
Females with own children under 6 years only,Female,109500,1936,0
Females with own children 6 to 17 years only,Female,107400,1936,0
Females with own children under 6 years only,Female,105300,1936,0
Females with own children 6 to 17 years only,Female,100000,1936,0
Females with own children under 6 years only,Female,98000,1936,0
Females with own children 6 to 17 years only,Female,97000,1936,0
Females with own children 6 to 17 years only,Female,91000,1936,0
Females with own children 6 to 17 years only,Female,90020,1936,0
Females with own children under 6 years and 6 to 17 years,Female,86000,1936,0
Females with own children under 6 years and 6 to 17 years,Female,85000,1936,0
Females with own children 6 to 17 years only,Female,82000,1936,0
Females with own children 6 to 17 years only,Female,80600,1936,0
Females with own children under 6 years only,Female,80000,1936,0
Females with own children under 6 years and 6 to 17 years,Female,78000,1936,0
Females with own children under 6 years and 6 to 17 years,Female,78000,1936,0
Females with own children 6 to 17 years only,Female,78000,1936,0
Females with own children under 6 years only,Female,76000,1936,0
Females with own children 6 to 17 years only,Female,76000,1936,0
Females with own children 6 to 17 years only,Female,75000,1936,0
Females with own children under 6 years only,Female,74030,1936,0
Females with own children under 6 years only,Female,74000,1936,0
Females with own children 6 to 17 years only,Female,74000,1936,0
Females with own children 6 to 17 years only,Female,72610,1936,0
Females with own children 6 to 17 years only,Female,70000,1936,0
Females with own children under 6 years and 6 to 17 years,Female,70000,1936,0
Females with own children 6 to 17 years only,Female,70000,1936,0
Females with own children under 6 years and 6 to 17 years,Female,68000,1936,0
Females with own children under 6 years only,Female,68000,1936,0
Females with own children under 6 years only,Female,67800,1936,0
Females with own children 6 to 17 years only,Female,67000,1936,0
Females with own children 6 to 17 years only,Female,66600,1936,9600
Females with own children 6 to 17 years only,Female,65000,1936,0
Females with own children 6 to 17 years only,Female,65000,1936,0
Females with own children 6 to 17 years only,Female,65000,1936,0
Females with own children 6 to 17 years only,Female,65000,1936,0
Females with own children 6 to 17 years only,Female,64000,1936,0
Females with own children under 6 years and 6 to 17 years,Female,62000,1936,0
Females with own children 6 to 17 years only,Female,61800,1936,0
Females with own children 6 to 17 years only,Female,61000,1936,0
Females with own children under 6 years only,Female,61000,1936,0
Females with own children 6 to 17 years only,Female,60000,1936,0
Females with own children 6 to 17 years only,Female,60000,1936,0
Females with own children 6 to 17 years only,Female,60000,1936,0
Females with own children under 6 years only,Female,60000,1936,0
Females with own children 6 to 17 years only,Female,60000,1936,0
Females with own children 6 to 17 years only,Female,59600,1936,0
Females with own children under 6 years and 6 to 17 years,Female,59000,1936,0
Females with own children 6 to 17 years only,Female,58000,1936,0
Females with own children under 6 years and 6 to 17 years,Female,56000,1936,0
Females with own children 6 to 17 years only,Female,56000,1936,0
Females with own children under 6 years only,Female,56000,1936,0
Females with own children under 6 years and 6 to 17 years,Female,56000,1936,0
Females with own children 6 to 17 years only,Female,55000,1936,0
Females with own children 6 to 17 years only,Female,55000,1936,0
Females with own children under 6 years only,Female,54000,1936,0
Females with own children 6 to 17 years only,Female,54000,1936,0
Females with own children under 6 years and 6 to 17 years,Female,54000,1936,0
Females with own children 6 to 17 years only,Female,54000,1936,0
Females with own children under 6 years and 6 to 17 years,Female,53000,1936,0
Females with own children under 6 years only,Female,52000,1936,0
Females with own children 6 to 17 years only,Female,52000,1936,0
Females with own children 6 to 17 years only,Female,52000,1936,0
Females with own children 6 to 17 years only,Female,51200,1936,0
Females with own children under 6 years and 6 to 17 years,Female,51000,1936,0
Females with own children 6 to 17 years only,Female,51000,1936,0
Females with own children 6 to 17 years only,Female,50000,1936,0
Females with own children 6 to 17 years only,Female,50000,1936,0
Females with own children under 6 years only,Female,50000,1936,0
Females with own children under 6 years only,Female,50000,1936,0
Females with own children 6 to 17 years only,Female,50000,1936,0
Females with own children 6 to 17 years only,Female,50000,1936,0
Females with own children under 6 years only,Female,50000,1936,0
Females with own children 6 to 17 years only,Female,49600,1936,0
Females with own children under 6 years only,Female,49200,1936,0
Females with own children 6 to 17 years only,Female,49000,1936,0
Females with own children 6 to 17 years only,Female,49000,1936,0
Females with own children 6 to 17 years only,Female,49000,1936,0
Females with own children 6 to 17 years only,Female,48900,1936,0
Females with own children 6 to 17 years only,Female,48000,1936,0
Females with own children 6 to 17 years only,Female,48000,1936,0
Females with own children 6 to 17 years only,Female,48000,1936,0
Females with own children 6 to 17 years only,Female,48000,1936,0
Females with own children 6 to 17 years only,Female,47500,1936,0
Females with own children under 6 years only,Female,47500,1936,0
Females with own children 6 to 17 years only,Female,47200,1936,0
Females with own children under 6 years only,Female,47000,1936,0
Females with own children 6 to 17 years only,Female,47000,1936,0
Females with own children 6 to 17 years only,Female,47000,1936,0
Females with own children 6 to 17 years only,Female,46300,1936,0
Females with own children 6 to 17 years only,Female,45600,1936,0
Females with own children 6 to 17 years only,Female,45000,1936,0
Females with own children 6 to 17 years only,Female,45000,1936,0
Females with own children 6 to 17 years only,Female,45000,1936,0
Females with own children under 6 years and 6 to 17 years,Female,45000,1936,0
Females with own children 6 to 17 years only,Female,45000,1936,0
Females with own children under 6 years only,Female,45000,1936,0
Females with own children under 6 years and 6 to 17 years,Female,45000,1936,0
Females with own children 6 to 17 years only,Female,45000,1936,0
Females with own children 6 to 17 years only,Female,45000,1936,0
Females with own children 6 to 17 years only,Female,45000,1936,0
Females with own children 6 to 17 years only,Female,45000,1936,0
Females with own children 6 to 17 years only,Female,44400,1936,0
Females with own children under 6 years and 6 to 17 years,Female,44000,1936,0
Females with own children 6 to 17 years only,Female,43900,1936,0
Females with own children under 6 years and 6 to 17 years,Female,43500,1936,0
Females with own children 6 to 17 years only,Female,43000,1936,0
Females with own children under 6 years and 6 to 17 years,Female,43000,1936,0
Females with own children under 6 years and 6 to 17 years,Female,42900,1936,0
Females with own children 6 to 17 years only,Female,42420,1936,0
Females with own children 6 to 17 years only,Female,42000,1936,0
Females with own children 6 to 17 years only,Female,42000,1936,0
Females with own children 6 to 17 years only,Female,42000,1936,0
Females with own children under 6 years only,Female,42000,1936,0
Females with own children 6 to 17 years only,Female,42000,1936,0
Females with own children 6 to 17 years only,Female,41900,1936,0
Females with own children 6 to 17 years only,Female,41800,1936,0
Females with own children under 6 years only,Female,41000,1936,0
Females with own children 6 to 17 years only,Female,41000,1936,0
Females with own children under 6 years only,Female,40800,1936,0
Females with own children 6 to 17 years only,Female,40800,1936,0
Females with own children under 6 years and 6 to 17 years,Female,40300,1936,0
Females with own children under 6 years and 6 to 17 years,Female,40050,1936,0
Females with own children 6 to 17 years only,Female,40000,1936,0
Females with own children 6 to 17 years only,Female,40000,1936,0
Females with own children under 6 years only,Female,40000,1936,0
Females with own children 6 to 17 years only,Female,40000,1936,0
Females with own children under 6 years only,Female,40000,1936,0
Females with own children 6 to 17 years only,Female,40000,1936,0
Females with own children 6 to 17 years only,Female,40000,1936,0
Females with own children under 6 years and 6 to 17 years,Female,40000,1936,0
Females with own children 6 to 17 years only,Female,40000,1936,0
Females with own children under 6 years only,Female,40000,1936,0
Females with own children under 6 years and 6 to 17 years,Female,40000,1936,0
Females with own children 6 to 17 years only,Female,39500,1936,0
Females with own children 6 to 17 years only,Female,39300,1936,0
Females with own children under 6 years only,Female,39000,1936,0
Females with own children under 6 years and 6 to 17 years,Female,39000,1936,0
Females with own children under 6 years and 6 to 17 years,Female,39000,1936,0
Females with own children under 6 years and 6 to 17 years,Female,39000,1936,0
Females with own children 6 to 17 years only,Female,38700,1936,0
Females with own children under 6 years only,Female,38500,1936,0
Females with own children 6 to 17 years only,Female,38300,1936,0
Females with own children 6 to 17 years only,Female,37400,1936,0
Females with own children under 6 years and 6 to 17 years,Female,37300,1936,0
Females with own children 6 to 17 years only,Female,37000,1936,0
Females with own children under 6 years only,Female,37000,1936,4000
Females with own children 6 to 17 years only,Female,36800,1936,0
Females with own children under 6 years only,Female,36600,1936,0
Females with own children under 6 years only,Female,36400,1936,0
Females with own children under 6 years and 6 to 17 years,Female,36300,1936,0
Females with own children under 6 years only,Female,36000,1936,0
Females with own children under 6 years only,Female,36000,1936,0
Females with own children 6 to 17 years only,Female,36000,1936,0
Females with own children under 6 years only,Female,35920,1936,0
Females with own children under 6 years and 6 to 17 years,Female,35780,1936,180
Females with own children 6 to 17 years only,Female,35500,1936,0
Females with own children under 6 years and 6 to 17 years,Female,35400,1936,2400
Females with own children under 6 years and 6 to 17 years,Female,35100,1936,0
Females with own children under 6 years only,Female,35000,1936,0
Females with own children under 6 years and 6 to 17 years,Female,35000,1936,0
Females with own children under 6 years only,Female,35000,1936,0
Females with own children under 6 years only,Female,35000,1936,0
Females with own children 6 to 17 years only,Female,35000,1936,0
Females with own children 6 to 17 years only,Female,35000,1936,0
Females with own children 6 to 17 years only,Female,35000,1936,0
Females with own children under 6 years only,Female,35000,1936,0
Females with own children under 6 years only,Female,35000,1936,0
Females with own children under 6 years only,Female,35000,1936,0
Females with own children under 6 years only,Female,35000,1936,0
Females with own children 6 to 17 years only,Female,35000,1936,0
Females with own children 6 to 17 years only,Female,35000,1936,0
Females with own children 6 to 17 years only,Female,34800,1936,0
Females with own children under 6 years and 6 to 17 years,Female,34600,1936,2600
Females with own children 6 to 17 years only,Female,34300,1936,0
Females with own children under 6 years only,Female,34000,1936,0
Females with own children 6 to 17 years only,Female,34000,1936,0
Females with own children under 6 years and 6 to 17 years,Female,34000,1936,0
Females with own children under 6 years and 6 to 17 years,Female,34000,1936,0
Females with own children 6 to 17 years only,Female,34000,1936,0
Females with own children 6 to 17 years only,Female,34000,1936,0
Females with own children under 6 years and 6 to 17 years,Female,33700,1936,0
Females with own children 6 to 17 years only,Female,33600,1936,0
Females with own children 6 to 17 years only,Female,33600,1936,3600
Females with own children 6 to 17 years only,Female,33300,1936,0
Females with own children under 6 years and 6 to 17 years,Female,33000,1936,0
Females with own children 6 to 17 years only,Female,33000,1936,0
Females with own children under 6 years and 6 to 17 years,Female,32900,1936,0
Females with own children 6 to 17 years only,Female,32700,1936,0
Females with own children 6 to 17 years only,Female,32500,1936,0
Females with own children under 6 years and 6 to 17 years,Female,32000,1936,0
Females with own children under 6 years only,Female,32000,1936,0
Females with own children under 6 years and 6 to 17 years,Female,32000,1936,0
Females with own children 6 to 17 years only,Female,32000,1936,0
Females with own children under 6 years and 6 to 17 years,Female,32000,1936,0
Females with own children under 6 years only,Female,32000,1936,0
Females with own children under 6 years only,Female,32000,1936,0
Females with own children under 6 years only,Female,32000,1936,0
Females with own children under 6 years only,Female,32000,1936,0
Females with own children under 6 years only,Female,32000,1936,0
Females with own children 6 to 17 years only,Female,31500,1936,0
Females with own children under 6 years and 6 to 17 years,Female,31400,1936,0
Females with own children 6 to 17 years only,Female,31300,1936,1300
Females with own children under 6 years only,Female,31200,1936,0
Females with own children under 6 years only,Female,31000,1936,0
Females with own children 6 to 17 years only,Female,31000,1936,0
Females with own children 6 to 17 years only,Female,31000,1936,0
Females with own children 6 to 17 years only,Female,31000,1936,1000
Females with own children 6 to 17 years only,Female,30700,1936,0
Females with own children 6 to 17 years only,Female,30500,1936,0
Females with own children under 6 years only,Female,30400,1936,0
Females with own children under 6 years only,Female,30200,1936,0
Females with own children under 6 years and 6 to 17 years,Female,30200,1936,0
Females with own children under 6 years only,Female,30100,1936,0
Females with own children 6 to 17 years only,Female,30100,1936,0
Females with own children under 6 years and 6 to 17 years,Female,30000,1936,0
Females with own children under 6 years only,Female,30000,1936,0
Females with own children 6 to 17 years only,Female,30000,1936,0
Females with own children 6 to 17 years only,Female,30000,1936,0
Females with own children 6 to 17 years only,Female,30000,1936,0
Females with own children under 6 years only,Female,30000,1936,0
Females with own children under 6 years and 6 to 17 years,Female,30000,1936,0
Females with own children 6 to 17 years only,Female,30000,1936,0
Females with own children under 6 years only,Female,30000,1936,0
Females with own children 6 to 17 years only,Female,30000,1936,0
Females with own children under 6 years only,Female,30000,1936,0
Females with own children under 6 years and 6 to 17 years,Female,30000,1936,0
Females with own children under 6 years and 6 to 17 years,Female,30000,1936,0
Females with own children under 6 years and 6 to 17 years,Female,30000,1936,0
Females with own children under 6 years and 6 to 17 years,Female,30000,1936,0
Females with own children under 6 years only,Female,30000,1936,0
Females with own children under 6 years only,Female,30000,1936,0
Females with own children under 6 years only,Female,30000,1936,0
Females with own children under 6 years only,Female,30000,1936,0
Females with own children under 6 years only,Female,30000,1936,0
Females with own children under 6 years only,Female,30000,1936,0
Females with own children under 6 years only,Female,30000,1936,0
Females with own children under 6 years only,Female,30000,1936,0
Females with own children under 6 years and 6 to 17 years,Female,30000,1936,0
Females with own children 6 to 17 years only,Female,30000,1936,0
Females with own children 6 to 17 years only,Female,29800,1936,0
Females with own children 6 to 17 years only,Female,29700,1936,0
Females with own children 6 to 17 years only,Female,29000,1936,0
Females with own children 6 to 17 years only,Female,29000,1936,0
Females with own children 6 to 17 years only,Female,29000,1936,0
Females with own children under 6 years only,Female,29000,1936,0
Females with own children under 6 years only,Female,29000,1936,0
Females with own children under 6 years and 6 to 17 years,Female,29000,1936,0
Females with own children 6 to 17 years only,Female,29000,1936,0
Females with own children 6 to 17 years only,Female,28800,1936,0
Females with own children under 6 years and 6 to 17 years,Female,28800,1936,0
Females with own children under 6 years and 6 to 17 years,Female,28700,1936,0
Females with own children under 6 years only,Female,28600,1936,0
Females with own children under 6 years and 6 to 17 years,Female,28200,1936,0
Females with own children under 6 years only,Female,28100,1936,0
Females with own children 6 to 17 years only,Female,28100,1936,0
Females with own children 6 to 17 years only,Female,28000,1936,0
Females with own children under 6 years only,Female,28000,1936,0
Females with own children under 6 years only,Female,28000,1936,0
Females with own children under 6 years only,Female,28000,1936,0
Females with own children 6 to 17 years only,Female,28000,1936,0
